otime,o,h,l,c,vol,ctime,quoteAssetVolume,nTrades,buyBaseAssetV,buyQuoteAssetV,unused
2019-10-31,183.14,185.27000000,177.66000000,182.18,410969.86104,2019-10-31 23:59:59.999,74696032.73156750,167038.0,210699.39971000,38302299.77305470,0
2019-10-30,190.45,191.71000000,179.28000000,183.13,537770.43056,2019-10-30 23:59:59.999,99508269.89031900,194946.0,264989.49925000,48993402.73324990,0
2019-10-29,181.67,192.74000000,181.26000000,190.46,529964.5054,2019-10-29 23:59:59.999,99024969.84348440,212841.0,269645.51621000,50376777.27626090,0
2019-10-28,183.84,189.48000000,180.35000000,181.72,582179.44545,2019-10-28 23:59:59.999,106933716.67061300,225343.0,295482.30631000,54279347.87984030,0
2019-10-27,179.42,188.70000000,176.22000000,183.75,724423.40525,2019-10-27 23:59:59.999,132329593.39361980,262415.0,385013.11426000,70337311.66175260,0
2019-10-26,181.53,197.74000000,173.80000000,179.49,1211737.43684,2019-10-26 23:59:59.999,222906937.79099780,373782.0,616841.96023000,113546883.09884350,0
2019-10-25,160.39,187.78000000,160.25000000,181.5,904832.86059,2019-10-25 23:59:59.999,157496890.72260220,267143.0,477807.72341000,83125683.11840570,0
2019-10-24,162.35,163.72000000,158.72000000,160.38,387310.83766,2019-10-24 23:59:59.999,62419095.10681710,159778.0,201844.94482000,32531887.33599170,0
2019-10-23,171.19,171.49000000,153.45000000,162.35,746955.09806,2019-10-23 23:59:59.999,121126428.22859730,238790.0,349055.64660000,56615958.41026140,0
2019-10-22,174.0,175.04000000,170.30000000,171.2,255429.41624,2019-10-22 23:59:59.999,44176123.20859810,123180.0,125146.21334000,21648645.78136290,0
2019-10-21,175.18,177.90000000,171.59000000,173.98,270608.51385,2019-10-21 23:59:59.999,47204344.24062680,128045.0,140196.68285000,24473074.18746330,0
2019-10-20,171.84,176.88000000,169.21000000,175.22,299141.07152,2019-10-20 23:59:59.999,51654250.06525480,125469.0,161874.58359000,27947258.53062270,0
2019-10-19,172.78,174.98000000,169.44000000,171.79,296918.73026,2019-10-19 23:59:59.999,51269466.04253870,127763.0,153698.71472000,26548317.23304430,0
2019-10-18,177.17,177.44000000,168.66000000,172.74,319602.48508,2019-10-18 23:59:59.999,55285684.61343000,139612.0,152605.77187000,26410422.94712610,0
2019-10-17,174.52,178.96000000,172.61000000,177.16,298795.8198,2019-10-17 23:59:59.999,52578052.94403270,133295.0,157556.94002000,27723058.42127190,0
2019-10-16,180.52,181.44000000,171.81000000,174.47,347764.93459,2019-10-16 23:59:59.999,61180262.77590320,151051.0,174413.51344000,30692249.72077440,0
2019-10-15,186.7,188.37000000,175.96000000,180.49,405466.38109,2019-10-15 23:59:59.999,73998014.44721510,155734.0,200056.73570000,36519397.83157390,0
2019-10-14,180.98,187.54000000,180.43000000,186.72,279732.84612,2019-10-14 23:59:59.999,51494870.27736360,123915.0,145915.38133000,26856962.91796090,0
2019-10-13,179.65,184.95000000,178.52000000,180.99,247589.23231,2019-10-13 23:59:59.999,45067340.42215130,113448.0,124690.60376000,22703924.64689290,0
2019-10-12,180.65,184.64000000,177.59000000,179.68,290415.22038,2019-10-12 23:59:59.999,52895345.38262570,118775.0,147805.76792000,26936589.74044530,0
2019-10-11,191.18,196.65000000,179.41000000,180.72,621693.63125,2019-10-11 23:59:59.999,115872479.76612730,181427.0,300995.29890000,56109324.69191310,0
2019-10-10,192.61,194.20000000,186.88000000,191.14,436588.58452,2019-10-10 23:59:59.999,83367952.39334860,150166.0,226305.55384000,43218136.09303180,0
2019-10-09,180.61,195.53000000,178.96000000,192.62,562506.82189,2019-10-09 23:59:59.999,105551736.48440960,182290.0,296581.72445000,55656345.70328330,0
